2026/04/18 17:10:42.768, 27791 MiB, 81920 MiB, 25 %, 71.31 W
2026/04/18 17:10:42.771, 27791 MiB, 81920 MiB, 25 %, 71.31 W
2026/04/18 17:10:43.666, 27799 MiB, 81920 MiB, 25 %, 71.31 W
2026/04/18 17:10:43.681, 27799 MiB, 81920 MiB, 25 %, 71.31 W
2026/04/18 17:10:43.750, 27799 MiB, 81920 MiB, 25 %, 71.31 W
2026/04/18 17:10:43.803, 27835 MiB, 81920 MiB, 1 %, 71.31 W
2026/04/18 17:10:43.805, 27835 MiB, 81920 MiB, 1 %, 71.31 W
2026/04/18 17:10:44.696, 27807 MiB, 81920 MiB, 19 %, 71.31 W
2026/04/18 17:10:44.715, 27831 MiB, 81920 MiB, 19 %, 71.31 W
2026/04/18 17:10:44.777, 27831 MiB, 81920 MiB, 19 %, 71.31 W
2026/04/18 17:10:44.846, 27831 MiB, 81920 MiB, 0 %, 154.62 W
2026/04/18 17:10:44.850, 27831 MiB, 81920 MiB, 0 %, 154.62 W
2026/04/18 17:10:45.730, 27839 MiB, 81920 MiB, 0 %, 192.25 W
2026/04/18 17:10:45.744, 27839 MiB, 81920 MiB, 0 %, 192.25 W
2026/04/18 17:10:45.812, 27839 MiB, 81920 MiB, 9 %, 71.64 W
2026/04/18 17:10:45.877, 27839 MiB, 81920 MiB, 9 %, 71.64 W
2026/04/18 17:10:45.880, 27839 MiB, 81920 MiB, 9 %, 71.64 W
2026/04/18 17:10:46.759, 27847 MiB, 81920 MiB, 0 %, 134.03 W
2026/04/18 17:10:46.773, 27847 MiB, 81920 MiB, 0 %, 134.03 W
2026/04/18 17:10:46.842, 27847 MiB, 81920 MiB, 23 %, 71.23 W
2026/04/18 17:10:46.915, 27827 MiB, 81920 MiB, 23 %, 71.23 W
2026/04/18 17:10:46.918, 27827 MiB, 81920 MiB, 23 %, 71.23 W
2026/04/18 17:10:47.790, 27839 MiB, 81920 MiB, 0 %, 71.57 W
2026/04/18 17:10:47.808, 27839 MiB, 81920 MiB, 17 %, 71.23 W
2026/04/18 17:10:47.870, 27837 MiB, 81920 MiB, 17 %, 71.23 W
2026/04/18 17:10:47.948, 27837 MiB, 81920 MiB, 17 %, 71.31 W
2026/04/18 17:10:47.951, 27837 MiB, 81920 MiB, 17 %, 71.31 W
2026/04/18 17:10:48.825, 27847 MiB, 81920 MiB, 17 %, 71.31 W
2026/04/18 17:10:48.838, 27847 MiB, 81920 MiB, 17 %, 71.31 W
2026/04/18 17:10:48.900, 27847 MiB, 81920 MiB, 17 %, 71.23 W
2026/04/18 17:10:48.979, 27847 MiB, 81920 MiB, 17 %, 71.23 W
2026/04/18 17:10:48.982, 27847 MiB, 81920 MiB, 17 %, 71.23 W
2026/04/18 17:10:49.854, 27855 MiB, 81920 MiB, 0 %, 71.31 W
2026/04/18 17:10:49.867, 27855 MiB, 81920 MiB, 0 %, 71.31 W
2026/04/18 17:10:49.935, 27861 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:10:50.014, 27861 MiB, 81920 MiB, 0 %, 72.76 W
2026/04/18 17:10:50.015, 27861 MiB, 81920 MiB, 0 %, 72.76 W
2026/04/18 17:10:50.883, 27871 MiB, 81920 MiB, 0 %, 71.31 W
2026/04/18 17:10:50.897, 27871 MiB, 81920 MiB, 0 %, 71.31 W
2026/04/18 17:10:50.966, 27871 MiB, 81920 MiB, 0 %, 110.34 W
2026/04/18 17:10:51.047, 27871 MiB, 81920 MiB, 15 %, 71.31 W
2026/04/18 17:10:51.057, 27871 MiB, 81920 MiB, 15 %, 71.31 W
2026/04/18 17:10:51.915, 27879 MiB, 81920 MiB, 0 %, 144.65 W
2026/04/18 17:10:51.925, 27879 MiB, 81920 MiB, 0 %, 144.65 W
2026/04/18 17:10:51.996, 27879 MiB, 81920 MiB, 0 %, 144.65 W
2026/04/18 17:10:52.078, 27877 MiB, 81920 MiB, 15 %, 71.31 W
2026/04/18 17:10:52.084, 27877 MiB, 81920 MiB, 15 %, 71.31 W
2026/04/18 17:10:52.944, 27885 MiB, 81920 MiB, 13 %, 71.23 W
2026/04/18 17:10:52.956, 27885 MiB, 81920 MiB, 13 %, 71.23 W
2026/04/18 17:10:53.029, 27885 MiB, 81920 MiB, 0 %, 71.31 W
2026/04/18 17:10:53.106, 27885 MiB, 81920 MiB, 0 %, 71.31 W
2026/04/18 17:10:53.122, 27889 MiB, 81920 MiB, 0 %, 71.31 W
2026/04/18 17:10:53.972, 27893 MiB, 81920 MiB, 11 %, 71.23 W
2026/04/18 17:10:53.984, 27893 MiB, 81920 MiB, 11 %, 71.23 W
2026/04/18 17:10:54.059, 27897 MiB, 81920 MiB, 0 %, 71.31 W
2026/04/18 17:10:54.140, 27897 MiB, 81920 MiB, 0 %, 173.74 W
2026/04/18 17:10:54.153, 27897 MiB, 81920 MiB, 0 %, 173.74 W
2026/04/18 17:10:55.003, 27905 MiB, 81920 MiB, 0 %, 171.34 W
2026/04/18 17:10:55.016, 27905 MiB, 81920 MiB, 9 %, 171.34 W
2026/04/18 17:10:55.089, 27905 MiB, 81920 MiB, 9 %, 171.34 W
2026/04/18 17:10:55.168, 27905 MiB, 81920 MiB, 9 %, 71.31 W
2026/04/18 17:10:55.183, 27905 MiB, 81920 MiB, 9 %, 71.31 W
2026/04/18 17:10:56.040, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:10:56.044, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:10:56.118, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:10:56.196, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:10:56.215, 27913 MiB, 81920 MiB, 0 %, 71.16 W
2026/04/18 17:10:57.069, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:10:57.072, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:10:57.151, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:10:57.222, 27913 MiB, 81920 MiB, 0 %, 71.16 W
2026/04/18 17:10:57.242, 27913 MiB, 81920 MiB, 0 %, 71.16 W
2026/04/18 17:10:58.103, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:10:58.107, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:10:58.178, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:10:58.249, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:10:58.270, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:10:59.141, 27913 MiB, 81920 MiB, 0 %, 71.16 W
2026/04/18 17:10:59.144, 27913 MiB, 81920 MiB, 0 %, 71.16 W
2026/04/18 17:10:59.212, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:10:59.275, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:10:59.299, 27913 MiB, 81920 MiB, 0 %, 71.16 W
2026/04/18 17:11:00.222, 27913 MiB, 81920 MiB, 0 %, 71.16 W
2026/04/18 17:11:00.225, 27913 MiB, 81920 MiB, 0 %, 71.16 W
2026/04/18 17:11:00.243, 27913 MiB, 81920 MiB, 0 %, 71.16 W
2026/04/18 17:11:00.307, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:00.332, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:01.253, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:01.256, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:01.272, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:01.337, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:01.360, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:02.285, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:02.286, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:02.304, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:02.364, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:02.388, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:03.318, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:03.321, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:03.336, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:03.391, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:03.418, 27913 MiB, 81920 MiB, 0 %, 71.16 W
2026/04/18 17:11:04.352, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:04.352, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:04.370, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:04.417, 27913 MiB, 81920 MiB, 0 %, 71.16 W
2026/04/18 17:11:04.451, 27913 MiB, 81920 MiB, 0 %, 71.16 W
2026/04/18 17:11:05.385, 27913 MiB, 81920 MiB, 0 %, 71.16 W
2026/04/18 17:11:05.388, 27913 MiB, 81920 MiB, 0 %, 71.16 W
2026/04/18 17:11:05.405, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:05.452, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:05.479, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:06.419, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:06.429, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:06.443, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:06.481, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:06.513, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:07.460, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:07.464, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:07.482, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:07.516, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:07.543, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:08.503, 27913 MiB, 81920 MiB, 0 %, 70.98 W
2026/04/18 17:11:08.517, 27913 MiB, 81920 MiB, 0 %, 70.98 W
2026/04/18 17:11:08.521, 27913 MiB, 81920 MiB, 0 %, 70.98 W
2026/04/18 17:11:08.551, 27913 MiB, 81920 MiB, 0 %, 70.98 W
2026/04/18 17:11:08.573, 27913 MiB, 81920 MiB, 0 %, 70.98 W
2026/04/18 17:11:09.534, 27913 MiB, 81920 MiB, 0 %, 71.31 W
2026/04/18 17:11:09.552, 27913 MiB, 81920 MiB, 0 %, 71.31 W
2026/04/18 17:11:09.552, 27913 MiB, 81920 MiB, 0 %, 71.31 W
2026/04/18 17:11:09.583, 27913 MiB, 81920 MiB, 0 %, 71.31 W
2026/04/18 17:11:09.605, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:10.563, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:10.586, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:10.589, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:10.617, 27913 MiB, 81920 MiB, 0 %, 70.98 W
2026/04/18 17:11:10.640, 27913 MiB, 81920 MiB, 0 %, 70.98 W
2026/04/18 17:11:11.591, 27913 MiB, 81920 MiB, 0 %, 71.31 W
2026/04/18 17:11:11.619, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:11.625, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:11.650, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:11.678, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:12.622, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:12.657, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:12.663, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:12.684, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:12.707, 27913 MiB, 81920 MiB, 0 %, 70.98 W
2026/04/18 17:11:13.651, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:13.689, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:13.693, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:13.715, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:13.736, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:14.683, 27913 MiB, 81920 MiB, 0 %, 70.91 W
2026/04/18 17:11:14.726, 27913 MiB, 81920 MiB, 0 %, 70.98 W
2026/04/18 17:11:14.729, 27913 MiB, 81920 MiB, 0 %, 70.98 W
2026/04/18 17:11:14.751, 27913 MiB, 81920 MiB, 0 %, 70.98 W
2026/04/18 17:11:14.763, 27913 MiB, 81920 MiB, 0 %, 70.98 W
2026/04/18 17:11:15.714, 27913 MiB, 81920 MiB, 0 %, 70.91 W
2026/04/18 17:11:15.756, 27913 MiB, 81920 MiB, 0 %, 70.91 W
2026/04/18 17:11:15.759, 27913 MiB, 81920 MiB, 0 %, 70.91 W
2026/04/18 17:11:15.776, 27913 MiB, 81920 MiB, 0 %, 70.91 W
2026/04/18 17:11:15.794, 27913 MiB, 81920 MiB, 0 %, 70.91 W
2026/04/18 17:11:16.742, 27913 MiB, 81920 MiB, 0 %, 71.23 W
2026/04/18 17:11:16.791, 27913 MiB, 81920 MiB, 0 %, 71.23 W
