timestamp,gpu_index,utilization_pct,memory_used_mb,memory_total_mb,power_draw_w,sm_clock_mhz
1776342797.0911767,0,100.0,70795.25,81920.0,301.62,1380
1776342797.191396,0,100.0,70795.25,81920.0,298.151,1380
1776342797.2918694,0,100.0,70795.25,81920.0,294.611,1380
1776342797.3920846,0,100.0,70795.25,81920.0,293.222,1380
1776342797.4922328,0,100.0,70795.25,81920.0,298.895,1395
1776342797.592415,0,100.0,70795.25,81920.0,305.007,1395
1776342797.6925678,0,100.0,70795.25,81920.0,288.782,1320
1776342797.7929788,0,100.0,70795.25,81920.0,339.358,1335
1776342797.893245,0,100.0,70795.25,81920.0,293.415,1395
1776342797.9934394,0,100.0,70795.25,81920.0,297.956,1395
1776342798.093663,0,100.0,70795.25,81920.0,299.97,1395
1776342798.1938822,0,100.0,70795.25,81920.0,297.75,1395
1776342798.2940772,0,100.0,70795.25,81920.0,301.7,1395
1776342798.3942995,0,100.0,70795.25,81920.0,296.595,1395
1776342798.4945211,0,100.0,70795.25,81920.0,302.647,1395
1776342798.5947475,0,100.0,70795.25,81920.0,300.254,1395
1776342798.6949706,0,100.0,70795.25,81920.0,302.289,1380
1776342798.7951903,0,100.0,70795.25,81920.0,290.9,1380
1776342798.8953843,0,100.0,70795.25,81920.0,293.715,1380
1776342798.9955747,0,100.0,70795.25,81920.0,301.049,1395
1776342799.0957575,0,100.0,70795.25,81920.0,305.655,1395
1776342799.1959326,0,100.0,70795.25,81920.0,298.243,1395
1776342799.2961125,0,100.0,70795.25,81920.0,298.243,1395
1776342799.3963282,0,100.0,70795.25,81920.0,301.787,1395
1776342799.4965467,0,100.0,70795.25,81920.0,298.059,1395
1776342799.5967605,0,100.0,70795.25,81920.0,299.106,1395
1776342799.6969755,0,100.0,70795.25,81920.0,299.106,1380
1776342799.7971904,0,100.0,70795.25,81920.0,291.006,1380
1776342799.8974123,0,100.0,70795.25,81920.0,290.416,1380
1776342799.9977827,0,100.0,70795.25,81920.0,303.917,1380
1776342800.0982642,0,100.0,70795.25,81920.0,295.675,1380
1776342800.1984534,0,100.0,70795.25,81920.0,293.593,1395
1776342800.2986653,0,100.0,70795.25,81920.0,294.389,1395
1776342800.3988767,0,100.0,70795.25,81920.0,309.1,1395
1776342800.4990706,0,100.0,70795.25,81920.0,296.959,1380
1776342800.599264,0,100.0,70795.25,81920.0,292.187,1380
1776342800.6994445,0,100.0,70795.25,81920.0,303.451,1395
1776342800.7995906,0,100.0,70795.25,81920.0,295.345,1380
1776342800.900056,0,100.0,70795.25,81920.0,300.736,1395
1776342801.0002086,0,100.0,70795.25,81920.0,301.532,1395
1776342801.100359,0,100.0,70795.25,81920.0,294.805,1380
1776342801.200556,0,100.0,70795.25,81920.0,307.466,1335
1776342801.3008215,0,100.0,70795.25,81920.0,289.373,1365
1776342801.4010415,0,100.0,70795.25,81920.0,273.035,1380
1776342801.5016065,0,100.0,70795.25,81920.0,293.418,1395
1776342801.6017694,0,100.0,70795.25,81920.0,298.528,1395
1776342801.7019887,0,100.0,70795.25,81920.0,305.55,1395
1776342801.8022058,0,100.0,70795.25,81920.0,299.304,1395
1776342801.9024234,0,100.0,70795.25,81920.0,297.938,1395
1776342802.0026069,0,100.0,70795.25,81920.0,299.502,1395
1776342802.1027648,0,100.0,70795.25,81920.0,297.837,1395
1776342802.2029397,0,100.0,70795.25,81920.0,297.837,1395
1776342802.303126,0,100.0,70795.25,81920.0,301.508,1380
1776342802.4033444,0,100.0,70795.25,81920.0,295.544,1380
1776342802.503555,0,100.0,70795.25,81920.0,294.57,1395
1776342802.6037714,0,100.0,70795.25,81920.0,298.046,1380
1776342802.7039938,0,100.0,70795.25,81920.0,292.352,1395
1776342802.8043458,0,100.0,70795.25,81920.0,298.345,1395
1776342802.904523,0,100.0,70795.25,81920.0,299.776,1395
1776342803.0046716,0,100.0,70795.25,81920.0,300.528,1395
1776342803.1048717,0,100.0,70795.25,81920.0,297.275,1395
1776342803.205089,0,100.0,70795.25,81920.0,300.662,1395
1776342803.3052921,0,100.0,70795.25,81920.0,302.366,1395
1776342803.4054167,0,100.0,70795.25,81920.0,294.179,1380
1776342803.5055504,0,100.0,70795.25,81920.0,294.85,1380
1776342803.6057012,0,100.0,70795.25,81920.0,294.668,1380
1776342803.705899,0,100.0,70795.25,81920.0,300.439,1395
1776342803.8063571,0,100.0,70795.25,81920.0,300.257,1395
1776342803.9066286,0,100.0,70795.25,81920.0,300.09,1395
1776342804.0069044,0,100.0,70795.25,81920.0,303.345,1380
1776342804.1072896,0,100.0,70795.25,81920.0,303.25,1395
1776342804.207478,0,100.0,70795.25,81920.0,302.49,1395
1776342804.307693,0,100.0,70795.25,81920.0,292.401,1380
1776342804.4079733,0,100.0,70795.25,81920.0,294.561,1380
1776342804.5082264,0,100.0,70795.25,81920.0,294.832,1380
1776342804.6084452,0,100.0,70795.25,81920.0,300.95,1380
1776342804.7090464,0,100.0,70795.25,81920.0,292.005,1335
1776342804.809337,0,100.0,70795.25,81920.0,283.075,1380
1776342804.9095192,0,100.0,70795.25,81920.0,295.341,1395
1776342805.0096774,0,100.0,70795.25,81920.0,301.2,1395
1776342805.1098719,0,100.0,70795.25,81920.0,298.72,1395
1776342805.2100592,0,100.0,70795.25,81920.0,298.72,1395
1776342805.3109136,0,100.0,70795.25,81920.0,298.816,1395
1776342805.4111104,0,100.0,70795.25,81920.0,303.72,1395
1776342805.5113246,0,100.0,70795.25,81920.0,295.155,1380
1776342805.6130142,0,100.0,70795.25,81920.0,295.155,1395
1776342805.713206,0,100.0,70795.25,81920.0,297.165,1380
1776342805.8134027,0,100.0,70795.25,81920.0,306.032,1380
1776342805.913548,0,100.0,70795.25,81920.0,296.791,1380
1776342806.01366,0,100.0,70795.25,81920.0,296.791,1380
1776342806.114123,0,100.0,70795.25,81920.0,302.761,1395
1776342806.2142951,0,100.0,70795.25,81920.0,302.761,1395
1776342806.3147361,0,100.0,70795.25,81920.0,301.606,1395
1776342806.4149113,0,100.0,70795.25,81920.0,303.343,1395
